question,content,date,answers,views,ansAccepted,score,url
structuring simple external API calls with MVC in rails,"First time trying to create a simple web app with external API call, and I'm not sure how to structure it properly. Any tips with be greatly appreciated!Imagine there exists 5 players. Each player has a name. The API call will return the player ID given the name. I want to display them (for right now) on the show page.Player Controller ShowPlayer Show PageRight now there are plenty of things wrong with it that I would like to fix.First is the API call exists within the show page. I believe the MVC structure propells me to add the API call in the model instead, but how do I call it back to the controller and the view? Second is I am hard coding how to get id itself. Although this is for testing purposes (just want to see I am actually on the right track), this does not utilize the Player class at all. Furthermore, @info entirely depends on what I define it as in the show action, which is definitely not what I want.How should I approach this?",1.437E+12,0,3,FALSE,0,/questions/31443170/structuring-simple-external-api-calls-with-mvc-in-rails
Rails permit nested hash parameters,"Here are my params:How do I permit: To get an output that looks like:So that I can use the following to save:I'm trying the following, but it's not working:My version in fact, isn't letting anything go through =(",1.437E+12,0,2,FALSE,0,/questions/31443169/rails-permit-nested-hash-parameters
Cannot query except when user set superuser,"I'm using PHP to query a PostgreSQL database (PHP5, PostgreSQL 9.3.9). I have an existing database that has an owner. I'm trying to make a secondary user have full access to the database to be used by PHP. When this user is set SUPERUSER it can query the database. Otherwise he cannot. I granted all privileges to the user with the postgres superuser for the database in question with:And when I look at the database list, phpuser=CTc is listed on Access Privileges. The user also has a password set.What am I missing? I want this user to access the database with full privileges through PHP.",1.437E+12,0,2,FALSE,0,/questions/31443168/cannot-query-except-when-user-set-superuser
Change json call on ng-click,"I am new to angular, and I want to know how I can change the json array on ng-click. I tried different methods, but the code didn't work. I am not sure how to create this functionality.Here is my code. I want the the default to be chapter 1 when the app loads, and when the user clicks the menu link, it changes to whatever chapter number is passed into the function.menu.html ---- view`Practice
                        
                            {{ words.term }}
                        
'I am using a service to load the dataHere is the code snippet from my controller that I have so far.JSON data ---- sample data",1.437E+12,0,9,FALSE,0,/questions/31443166/change-json-call-on-ng-click
Little help here for junior programmer,"i need a bit of the help.how can I make some sentences removing and writing by itself automatically like this: (examples below)http://www.nbgteam.com/ <--- this site ( http://prntscr.com/7t6qla ) <--- this texti mean, what is this, jquery or? and how to do it?",1.437E+12,0,12,FALSE,-2,/questions/31443162/little-help-here-for-junior-programmer
Parsing JSON with Javascript and styling with HTML/CSS,"I will preface this inquiry as that I've been in the world of AS3 for some time, and never touched a JSON file before and very newb at Javascript.I've got a fairly simple JSON file, which looks like this:I need to read this with Javascript and then style it with HTML and CSS. (I think?)  I've read through tutorials and whatnot, but I'm afraid I get a bit lost with some of the explanations. If anyone has a demonstration I would really appreciate it. I've worked with XML data before in AS3 but never JSON. And never JSON+HTML/JS.Please Halp.  Thank you.",1.437E+12,0,10,FALSE,0,/questions/31443158/parsing-json-with-javascript-and-styling-with-html-css
Evaluate Javascript Packer Function Using Java,"I've created a basic web crawler using Java and the JSoup library. Within pages of certain websites, I find this packer/packed JavaScript function, similar to the code below. This is dynamically evaled and therefore left unevaled by my crawler.I have used tools such as Selenium to handle dynamic JavaScript, however I feel that it is too slow and not a feasible option.eval(function(p,a,c,k,e,r){e=String;if(!''.replace(/^/,String)){while(c--)r[c]=k[c]||c;k=[function(e){return r[e]}];e=function(){return'\w+'};c=1};while(c--)if(k[c])p=p.replace(new RegExp('\b'+e(c)+'\b','g'),k[c]);return p}('(0(){4 1=""5 6 7 8"";0 2(3){9(3)}2(1)})();',10,10,'function|b|something|a|var|some|sample|packed|code|alert'.split('|'),0,{}))I want to implement a Java function to simulate a JavaScript eval, but I've found the task to be difficult and was looking for some help. Any tips?",1.437E+12,0,2,FALSE,0,/questions/31443157/evaluate-javascript-packer-function-using-java
Display only the language on the URL of an MVC website,"I have a multilingual project developed with MVC 5, it also has routing. The URL is displayed as follows: example.com/en-US, but now I need the URL appears as follows: example.com/en (without '-US') or example.com/esRouteConfig.cs File:_Layout.cshtml File:LocalizedRouteHandler.cs File:How should I change those codes?I downloaded the project from this site: http://www.jittuu.com/2014/3/17/AspNet-localization-routing/ ",1.437E+12,0,3,FALSE,0,/questions/31443154/display-only-the-language-on-the-url-of-an-mvc-website
Java Get Largest Int,"I am looking to find the largest integer out of 3. I have tried putting them in ArrayList's and using the sort method, however I can't figure out how to tell if one they are tied. I tried to check there size and if it's not 3 then one is tied, which works, however, I want to find out the exact ones that are tied.Could I haves some pointers?
Thanks! - Jake",1.437E+12,0,25,FALSE,-4,/questions/31443151/java-get-largest-int
How do i print an arraylist of an object in a table format,"basically i wrote this code where the user inputs certain values for members of a class. and i made an arraylist of that class. now i want to code it in such a way that the user could ask the program to print all the data he/she input, but i can't seem to get it to work.}}",1.437E+12,0,8,FALSE,0,/questions/31443149/how-do-i-print-an-arraylist-of-an-object-in-a-table-format
Creating a SQL Azure user that cannot create tables,"I just have to create a new user on an SQL Azure database, that can SELECT/INSERT/UPDATE/DELETE from every table, and execute every proc, but CANNOT CREATE/ALTER/DROP anything.In other words, I need a new user that cannot run DDL commands against the database.I've already managed to create the login and the user (on master schema).
Any help?",1.437E+12,0,4,FALSE,0,/questions/31443146/creating-a-sql-azure-user-that-cannot-create-tables
why 2 or more line breaks are gone mysql/php,"My application have textarea where you can input text and save it in database. When i do single enter to create a new line then enter another text and save in database and when i retrieve it from database and use nl2br function in php it creates a < br > tag and its fine but when i do 2 or more enter and then add some text again then save in database there is no < br > tag at all even a space between first and second text, i dont know where is the problem, is it in mysql or in php. thanks for the help.",1.437E+12,0,5,FALSE,0,/questions/31443145/why-2-or-more-line-breaks-are-gone-mysql-php
PHP Registration Issue of Provided Information,"I'm working with a referral program website and I have problem..There are two types when you register. Applicant and EmployeeWhen you register as an  Employee, after the successfully registration, there will be a button there that when you click it, it will display your personal information that you provide during registration..
The information are: When you choose to register as an employee provided that you have your employee number already, once you have click the successfully registration button, there will be a page after that and you can see your information.. 
Like this.. Let say When we talk about the registration as an employee. I do not have problems.. 
ButWhen you register as an Applicant, I set the Referrer ID to 0 because applicant do not have employee number yet.. 
But after the successfully registration as an applicant there will be a button there like to Employee that when you click it, it will display your personal information that you provide during registration.. I am having problem with this because if you register as an applicant.. 
These are the following information they display..The problem is why my Fullname and Member Since becomes null or no value when I register as an Applicant.. Though, I am expected that this will be having value.. I hope my question is clear so that you can understand.. I am willing to show you my code for registration and the page after the registration where the information displays..",1.437E+12,0,2,FALSE,0,/questions/31443142/php-registration-issue-of-provided-information
Highcharts don't render in Internet Explorer 11,"I am making a dashboard in a Sharepoint html page. My charts render and display correctly in Chrome, but only the pie chart renders in Internet Explorer 11. If I create a static array of data for the series, it works. If I try to populate it dynamically, it only works in the pie chart. ",1.437E+12,0,4,FALSE,0,/questions/31443139/highcharts-dont-render-in-internet-explorer-11
unable to connect to the remote server - JIRA,"My WCF service is returning when called from console application. I'm able to return JSON object.However, when I'm running through browser or WCF inbuild client, its throwing exception ""unable to connect remote server"".My authentication code is like this:Here is my web.config:Just wandering if every thing working fine when I am calling WCF method from console application, then why its not working from its own client or browser? Is there anything I need to add in configuration file? Please help.",1.437E+12,0,6,FALSE,0,/questions/31443136/unable-to-connect-to-the-remote-server-jira
SSL protocols not supported in Standalone Tomcat 7,"I downloaded the core binary distribution of tomcat 7 at https://tomcat.apache.org/download-70.cgiI extracted the content of the archive as a directory called tomcat. This tomcat binaries can run directly as long as I provide the environment variables. So I use a script to set JAVA_HOME and CATALINA_HOME and then I start the server using the default script:tomcat/bin/startup.shIn my server.xml I haveI can't manage to fix this ""not supported protocols"" when running the server. I think it comes from the loading of the jsse library that provides these protocols, but I have the jar available under /usr/lib/jvm/java-8-oracle/jre/lib/jsse.jar and I also tried to copy it to tomcat/lib/ to make sure it would end up on the classpath, and it didn't work.What is going wrong with these protocols and how could I get them to work ?They are space- or comma-separated, not '+'-separated. Check the documentation. You're using the OpenSSL syntax and a non-OpenSSL connector.",1.437E+12,1,5,FALSE,0,/questions/31443135/ssl-protocols-not-supported-in-standalone-tomcat-7
Get number of input records in Hadoop reducer,"In my reducer, I require the total number of ""lines"" of input that were processed by the mappers.sample input:So, in all of the Reducers, I have access to the whatever was emitted by the Mappers plus the total number of lines (in this case 3).I'm assuming that I will need either multiple jobs or chain together some mappers and/or reducers but I'm unsure of the proper way.Note: This is not a simple average program, so I can't just have a single key from the mapper.",1.437E+12,0,2,FALSE,0,/questions/31443134/get-number-of-input-records-in-hadoop-reducer
Numpy - Change value of masked constants,"I have a large 3 dimensional MaskedArray and I'm applying a function like numpy.mean or numpy.std to one of its axes. The problem is that at some places in the array, all elements that are being fed to the mean function are masked and when I save everything to file (NetCDF format) I get 0s. How can I turn all those values from masked (MaskedConstant type) to the fill value I originally had? I am looking for either some magical way that doesn't involve if statements or at least a very fast way of doing it, because the dataset is very large. Try this:http://docs.scipy.org/doc/numpy/reference/maskedarray.generic.html#accessing-only-the-valid-entries",1.437E+12,1,8,FALSE,0,/questions/31443131/numpy-change-value-of-masked-constants
"Setting width and margin to auto on inner div, CSS, HTML [duplicate]","I have 2 divs. One inside of another. The one on the outside has a width and height of 500px, and the one on the inside have a width of auto. I'm trying to center the div on the inside, but I'm also trying to get the width of it to be auto. It's not adjusting the width to auto, and instead it's spanning the entire 500px of the outer div. I'm not sure what I did wrong, so please take a look at my code: if you use padding in #outer you can do what you wantsee snippet:

#outer {
  border: 1px solid black;
  width: 500px;
  height: 500px;
  margin:auto; /* demo purposes */
  padding:5%
}
#inner {
  border: 1px solid black;
  width: auto;
  padding:2%; /* demo purposes */
  background:red;  /* demo purposes */
}
<div id='outer'>
  <div id='inner'>Inner</div>
</div>


Try this: Demo here.Div's are display: block which defaults to filling the entire width of the parent.  So when you are setting it to width: auto it's doing the default.  If you want to make it conform to it's content, then set it to display: inline-block.  Since inline-block can be centered like text just add text-align: center to your #outer div.  Like so:

#outer {
  border: 1px solid black;
  width: 500px;
  height: 500px;
  text-align: center;
}
#inner {
  border: 1px solid black;
  display: inline-block;
}
<div id='outer'>

  <div id='inner'>Inner</div>

</div>


",1.437E+12,3,11,FALSE,0,/questions/31443127/setting-width-and-margin-to-auto-on-inner-div-css-html
Construct a Function at runtime,Is it possible to create a java.util.function.Function from a String using reflection? I can't seem to figure out a way to do that as there are no constructors for Function.,1.437E+12,0,14,FALSE,0,/questions/31443125/construct-a-function-at-runtime
SQL query that shows overlapping rows within a single table?,I have been searching in Google and SO for an answer to this but having a hard time. Not even sure if I am asking it correctly but I am going to give it my best shot here:My data: Apple | Dark RedApple | GreenApple | YellowApple | Light RedApple | Greenish YellowApple | Dark YellowApple | BrownBanana | YellowBanana | Greenish YellowBanana | Dark Yellow Banana | Yellow Banana | BrownBanana | RedBanana | BlackWhat I would like to do is run a query that outputs how many attributes for all fruits (in this case just apples and bananas) that overlap. Hope Ive been clear....please let me know if I need to clarify. Something like this?,1.437E+12,1,10,FALSE,0,/questions/31443124/sql-query-that-shows-overlapping-rows-within-a-single-table
Php form function is working but returns blank page,"I'm working on a function to upload images to my website fileserver and at the same time would create a thumb preview and create an entry to my mysql database. So long the function to upload_image() is working, it uploads the image and creates a thumb perfectly. The issue is, that when I click the submit button to upload the image selected, the PHP function do its job but will return a BLANK PAGE. Yes, I Know, ""another blank page of death question, Jesus, shut up an go find all the other 53 posts related to this question and find a solution"" right? Well, is not that simple.I have tried every single method in those questions and another bunch that I've found over this forsaken place called internet and nothing works for me, I always get the same f'ing Blank Page of death with no warning, error or even a ""HELLO"" from PHP (The last one was a joke).What have I tried would you ask? The following would just represent a relevant set of solutions that I recall:Well, there are other solutions I have tried, be my guest and throw away some answers and I would tell you if i have already tried it.Lets get to it then. My HTML code that calls the php file is:And my image_uploader.php code is:Ok, so that is all I can think that is relevant for now, if you guys stop by and take a minute of your precious time to help I would very much appreciated.enable displaying errors and run again:",1.437E+12,1,12,FALSE,0,/questions/31443122/php-form-function-is-working-but-returns-blank-page
WCF insert into DB using EF,I have created a WCF service with below operation to insert into DB. (Pseudo code)This method is called many times by the client asynchronously. How to improve its performance? How to perform group insert and call savechanges across multiple calls.,1.437E+12,0,3,FALSE,0,/questions/31443120/wcf-insert-into-db-using-ef
Prevent direct access to html file but allow through PHP?,"I have a section of my website I would like to protect. I have created a php script to authenticate passwords and once authenticated, I would like them to be directed to an html page.I don't want users to take the above url, paste it into their browsers and have access to the page however. Do I have to add something my .htaccess file?add this in .htaccess file in parent folder:or create .htaccess file in protected folder and write this: I would use PHP and a form with password input that would provide a POST request to the server. Then in PHPEDIT:
You could also do this with sessions, where a user logins at a certain location, you give them a session name like $_SESSION[""name""] = ""admin""; and then check for that in a way similar to above with ",1.437E+12,2,12,FALSE,1,/questions/31443118/prevent-direct-access-to-html-file-but-allow-through-php
Everything between two sentences with parentheses,"I'm struggling with this one in Oracle.I want everything between ""Command ("" and "") executed by ""String:Desired result:I'm testing de regex on this site: https://regex101.comThis solution work on the site but, do not in my select:Select used:The expression (([^)]+)) works, except when there is a other "")"" inside the string. That's why I'm trying the between strings approach instead of just inside parentheses.Thanks a lot\(.*\) - this will work.",1.437E+12,1,8,FALSE,0,/questions/31443116/everything-between-two-sentences-with-parentheses
EXCEL: Group Changing Errors Bars (Specific Values) for Multiple Series of data points,"I have an excel document which contains values like this:t1p1 stays the same but the fuel columns go up to fuel 7.
I have specific std error bars for each value of fuel. Using convention excel I would have to add error bars for each series. So fuel 1, fuel 2, fuel 3 etc. (Plus you have to do this for plus and minus, so twice over)But I have over 50 graphs. I would have to do this 50x7 times!What is the easiest way to add error bars that are specific in value to a whole set of data?I am hoping to do use a possibly a similar function in excel where you can drag down to select a new set of data to apply to a copied chart. Thanks,J",1.437E+12,0,5,FALSE,0,/questions/31443114/excel-group-changing-errors-bars-specific-values-for-multiple-series-of-data
Azure Powershell error - New-AzureVMConfig : Invalid URI: The format of the URI could not be determined,I'm trying to create a VM in Azure Powershell along with these piped commands and I'm getting an error. Here is a copy of my command with the error on the bottom. I doubled checked the variables for my setup and they are OK. Also this command came from this microsoft doc and I just edited it. Any ideas?Error: ,1.437E+12,0,4,FALSE,0,/questions/31443113/azure-powershell-error-new-azurevmconfig-invalid-uri-the-format-of-the-uri
Process RestSharp Response as a Stream after checking the response status?,"I have to be able to stream large files from our Rest API using RestSharp. The canonical way of doing so is to set the 'ResponseWriter' property on the request:My problem is that the 'request' object (which includes state, status code, headers, etc) isn't available until after RestSharp has finished asking my ResponseWriter to process the entire stream.This seems counter-intuitive, since of course the user may want to change how a response stream is processed based on the response status.How can I get this status information before I start processing the stream of the response body?",1.437E+12,0,3,FALSE,0,/questions/31443111/process-restsharp-response-as-a-stream-after-checking-the-response-status
Setting default columns hidden using DataTable ColVis extension,"How can I provide a list of columns I want hidden on table load through the ColVis extension?Also, is there a way to retrieve the list of columns currently visible/hidden?",1.437E+12,0,1,FALSE,0,/questions/31443110/setting-default-columns-hidden-using-datatable-colvis-extension
Jasmine test fails when run in Chutzpah but not in browser,"I have a test that passes fine in the browser but is failing in Chutzpah.Here is the portion that is failing:Chutzpah says:It seems to have an issue with the includes function, because if I remove that it runs. I will probably try replacing that functionality with Regex or something, but it's been a huge pain trying to track this down. If I am missing something stupid I would love to have that pointed out to me.",1.437E+12,0,2,FALSE,0,/questions/31443109/jasmine-test-fails-when-run-in-chutzpah-but-not-in-browser
Trying to understand how to include filter and options in a gulp task with main-bower-files,"I would like to have a gulp task with main-bower-files that filters, and uses options, like debugging or includeDev. I have a bower_components directory and I can get the task to work with either the filter or the options, but not both. I know that I can include the options in the bower.json file, but I'm curious if and how to do both in the task?I'm looking at the documentation for main-bower-files and I guess I don't understand the documentation where it says: var files = mainBowerFiles( [[filter, ] options] [, callback] );Here's the excerpt from my gulpfile.jsI see that I can also use: bowerFiles({filter: '**/*.js'})). I can move everything (css from bower components also goes), no filters, and show the debugging with:How do I combine the options and filter?",1.437E+12,0,2,FALSE,0,/questions/31443106/trying-to-understand-how-to-include-filter-and-options-in-a-gulp-task-with-main
Port 25 works when exe run manually but blocked when run as service,"I am installing a program for a client which sends outgoing mail only using SMTP on port 25. Normally, the executable file runs as a service, but the initial mail test was failing, so I tried running the program manually (by double clicking the .exe file), which worked (outgoing mail sent successfully). The service is running as the current user, who is a local admin (we have also tried running as local system account and computer administrator). We have tried with Windows Firewall turned off on the local computer, with the same results. We are coordinating with their tech support to see if they can find out why their mail server is behaving this way, but are not sure if they'll find anything as it seems like an obscure error.Does anyone know why the port would allow a connection from the executable when run manually, but not when the executable is run as a service under the same user?This is the error message the service is showing:I apologize for my lack of knowledge, this is not my area of expertise. I posted this on networkengineering as well, but not at all sure if that was the right place, especially since I could only find 2 vaguely relevant tags. Please let me know which duplicate should be deleted and I will attend to it ASAP.Any help or suggestions would be greatly appreciated!",1.437E+12,0,5,FALSE,0,/questions/31443105/port-25-works-when-exe-run-manually-but-blocked-when-run-as-service
moto 360 heart rate value keep the same for a long time,"I am building an app using Moto 360 to detect heart rate, but after detecting for a while, sometimes the value I got from the heart rate sensor just stayed the same for a long time and the accuracy was still very high. It is obvious that my real heart rate could not stay still for a while. Is there any have the same problem with Moto 360 or something is wrong with code?",1.437E+12,0,2,FALSE,0,/questions/31443104/moto-360-heart-rate-value-keep-the-same-for-a-long-time
Dropdown menu not completely showing on mobile device,"this is the link I am working on http://innerdiv.com/wa/
When I view it on mobile screen and click on ""Diploma Programs"" it does not show/scroll its sub menu completely. P.S. I want sub menu to open/close on click, like toggle function. How can I do this?Here is the Code:",1.437E+12,0,5,FALSE,0,/questions/31443096/dropdown-menu-not-completely-showing-on-mobile-device
Is it possible to update and use updated .ini and .ned files when Omnet++ simulation is running?,"I am trying to run Omnet++ and matlab software in parallel and want them to communicate. When Omnet++ is running, I want to update the position of the node and for that I want to edit the .ned and .int files with matlab results continuously. During simulation I want to generate the result file using the updated files. I want just to update the position and don't want to add or delete any node. Please suggest me a way for proceeding? Thank you.",1.437E+12,0,4,FALSE,0,/questions/31443093/is-it-possible-to-update-and-use-updated-ini-and-ned-files-when-omnet-simula
Minecraft Crash After restoring Windows 7 [LOGS],My son is bugging me with this problem. Game crashes randomly after restoring PC. Any idea what it could be? Im all ears and got little experience in Java Programming. This has never happened until after I reinstalled a copy of Windows 7 to remove a cryptowall virus I ended up with... Hardee har har...Any help would be great.,1.437E+12,0,5,FALSE,0,/questions/31443091/minecraft-crash-after-restoring-windows-7-logs
username and password not found-php,"I am trying to login in my site but at the time of login its showing that username and password not found in my login page. 
Please somebody help me",1.437E+12,0,8,FALSE,0,/questions/31443085/username-and-password-not-found-php
Wordpress Custom Walker: Current Menu Item,"I am new to wordpress and trying to build a selfmade menu structure. I found a custom walker and customized it for my needs. The menu works fine, by now as you can see on my site.It gets loaded inside the header.php via <?php wp_nav_menu(array('walker' => new Custom_Nav_Walker())); ?>. The command is nested inside an ul tag, so the walker only generates the li tags inside.Now I want to add a class called active to the current parent menu item and it's dropdown child. I searched the web for hours but didn't find anything I can understand?€?_Can anyone help me implement that class into my custom walker?Thanks in advance!Jaro

class Custom_Nav_Walker extends Walker_Nav_Menu {
  function start_lvl(&$output, $depth = 0, $args = array()) {
      $output .= """";
  }

  function end_lvl(&$output, $depth = 0, $args = array()) {
    $output .= """";
  }

  function start_el(&$output, $item, $depth = 0, $args = array(), $id = 0) {

    parent::start_el($item_html, $item, $depth, $args);

    if ($item->is_dropdown && ($depth === 0)) {
      $output .= """";

    } elseif ($depth === 0) {
      $output .= ""<li class=\""navbar-list-item\""><div class=\""w-dropdown\"" data-ix=\""dropdown\""><div class=\""w-dropdown-toggle navbar-link\""><h5>"".esc_attr($item->title).""</h5></div><nav class=\""w-dropdown-list dropdown-list\"">"";

    } elseif ($depth > 0) {
      $output .= ""<a class=\""w-dropdown-link dropdown-link\"" href=\"""".esc_attr($item->url).""\"">"".esc_attr($item->title)."""";
    }
  }

  function end_el(&$output, $item, $depth=0, $args=array()) {  

        if ($item->is_dropdown && ($depth === 0)) {
      $output .= """";

    } elseif ($depth === 0) {
$output .= ""</nav></div></li>"";

    } elseif ($depth > 0) {
    $output .= ""</a>"";
    }
  }  
}


",1.437E+12,0,3,FALSE,0,/questions/31443084/wordpress-custom-walker-current-menu-item
Time Format Isuues,Wondering if someone can help me with this please. I'm getting the following error message when adding data to an access database.I know it's a time issue function but I don't know how to fix it so I can add data to the database in the required format.                                             One or more values are prohibited by the validation rule 'Time()' set for 'tblmph'.  Enter a value that the expression for this field can accept.  The columns are formatted as follows,1.437E+12,0,4,FALSE,0,/questions/31443081/time-format-isuues
why does my code run into a infinite loop?,"So I am very new to python and wanted to ask why does my code run into an infinite loop? Below is my code please forgive me for my indentation my code is supposed to roll the dice until a total of 50 is achieved and it is meant to store the number of times a 1 came up for example ""you rolled 3 four times""
feel free to edit my codeYou forgot to assign the value to number:",1.437E+12,1,16,FALSE,0,/questions/31443080/why-does-my-code-run-into-a-infinite-loop
Is ?€?reformat?€? of multi-dimensional array by pointer to incomplete array type allowed in C?,"Consider following declaration:Would it be  legal to treat it like as it was declared as:or even:in C without breaking its rules (badly)?I found that it can be acomplished without any cast:Notice that we cannot assign a to p1 pointer directly. However compiler does not complain when p2 is assigned with ptr_temp even if it seems to be potentially dangerous (it does not require any cast for that). Is it really sanitized? If so, then why it disallows the first assignmment?",1.437E+12,0,9,FALSE,2,/questions/31443077/is-reformat-of-multi-dimensional-array-by-pointer-to-incomplete-array-type-all
Wake Lock for Alarm doesn't work in Service,"I'm trying to create an alarm with a list of time to go off that I already have stored in Parse. I am able to have the alarm goes off so far. But now I want it to go off even when the device is asleep. I understand I need to implement wakelock into my service which I already did. I also understand that I need to include ""FLAG_SHOW_WHEN_LOCKED | FLAG_TURN_SCREEN_ON, FLAG_FULLSCREEN"". Currrently the only way I know is using get Window. But I know getWindow is not for service. So, I need some help on how to solve this.I have a AlarmService with this code:The Service goes off after the Save Button in add an alarm activity is pressed as follow:Thank you in advanceYou do not need to hold wake lock. Only do that when you want to prevent device from going to sleep. In your case, you simply want device to wake you up. Using either RTC_WAKEUP or ELAPSED_REALTIME_WAKEUP will accomplish this goal. You can obtain the wake lock upon waking up to prevent device from immediately going back to sleep if you are going to process the event asynchronously.",1.437E+12,1,4,FALSE,0,/questions/31443072/wake-lock-for-alarm-doesnt-work-in-service
Bitmap Image not loading (Blank),"I have this issue with loading my Bitmap image. I created a custom ImageAdapter and ImageItem for my GridLayout view. The application is supposed to take a picture, save it to the external storage, and retrieve the image from the external storage, showing it as a small thumbnail in a grid. When that image is clicked from the grid, a new Activity is started, showing the full-sized image. Everything has worked fine so far (The images get saved, and I can actually view them on the file system, the supplied path is correct), but the problem I am facing is that when I load the image, it shows up blank in the GridView, and when it is clicked upon, the new Activity also shows a blank image. I would greatly appreciate any help I can get! Here's the code:The getView for the custom Adapter:",1.437E+12,0,7,FALSE,0,/questions/31443071/bitmap-image-not-loading-blank
how to change color for a part of circos representation,"I have a circos representation shown in the image. I draw it by using Circos Online at www.circos.ca. All I need to do is to change all the purple colors into blue. Even though it seems easy, I couldnt manage to do that:( I appreciate if someone helps.Regards",1.437E+12,0,2,FALSE,0,/questions/31443068/how-to-change-color-for-a-part-of-circos-representation
